,description
75,"The final entry in a trilogy of films produced for the U.S. government by John Huston. Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment. It deals with what would now be called PTSD, but at the time was categorised as psychoneurosis or shell-shock. Government officials deemed this 1946 film counterproductive to postwar efforts; it was not shown publicly until 1981."
76,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods."
77,"Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, with Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swashbuckling feats and cliffhanging perils!"
78,"In the colonial era, island native Terangi (Jon Hall) spends a blissful honeymoon with his bride, Marama (Dorothy Lamour). Soon after, however, their relationship is torn asunder when Terangi is sent to prison for punching a prejudiced white man. Prominent members of the community -- including the governor's wife, Mme. De Laage (Mary Astor), petition the governor for clemency, but he refuses to budge. However, all pretense of law and order are soon shattered by an incoming tropical storm."
79,A documentary on .S. efforts against the Japanese during the Second World War.
80,"This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing raid on sub-pens in Wilhelmshaven, Germany."
81,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable."
82,"Martha and Karen graduate from college and turn an old Massachusetts farm into a school for girls. The friends are aided in their venture by local doctor Joe Cardin, who begins a relationship with Karen, and a prominent woman whose granddaughter, Mary, later enrolls in the new school. Mary soon reveals herself to be a spiteful child and tells a scandalous lie about Martha and Joe that threatens to destroy the lives of all involved."
83,A nightclub singer uses alcohol in excess to sooth her painful life.
84,"In the late 1800's the father of submarines, Mr John Holland, hit upon the idea of powering a submarine with an internal combustion engine and an electric motor. For over a hundred years, since the first semi-successful attempts during the American Civil War, submarine warfare had been fraught with difficulties and failure. In 1901, the Holland I was launched as the first Royal Navy submarine and submarines have been an integral part of the Navy ever since."
85,"After surviving a murder attempt, an auto magnate goes into hiding so his wife can pay for the crime."
86,"On the beach one night, Christine Faber, two years a widow, thinks she hears her late husband Paul calling out of the surf...then meets a tall dark man, Alexis, who seems to know all about such things. After more ghostly manifestations, Christine and younger sister Janet become enmeshed in the eerie artifices of Alexis; but he in turn finds himself manipulated into deeper deviltry than he had in mind..."
87,A newspaper publisher and his Korean servant fight crime as vigilantes who pose as a notorious masked gangster and his aide.
88,"Brilliant in his studies and dismissive of athletics, Ronald finishes high school at the top of his class. But in college his uptight attitude doesn't win him any points with his sports-loving classmates, and pretty coed Mary ignores him in favor of brutish jock Jeff. Hoping to impress Mary, Ronald makes a buffoon of himself at every sport imaginable."
89,"Dr. Carruthers feels bitter at being betrayed by his employers, Heath and Morton, when they became rich as a result of a product he devised. He gains revenge by electrically enlarging bats and sending them out to kill his employers' family members by instilling in the bats a hatred for a particular perfume he has discovered, which he gets his victims to apply before going outdoors. Johnny Layton, a reporter, finally figures out Carruthers is the killer and, after putting the perfume on himself, douses it on Carruthers in the hopes it will get him to give himself away. One of the two is attacked as the giant bat makes one of its screaming, swooping power dives."
90,The story of seven scholars in search of an expert to teach them about swing music. They seem to have found the perfect candidate in winsome nightclub singer Honey Swanson. But Honey's gangster boyfriend doesn't want to give her up.
91,"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only ""yes"" or ""no"" questions."
92,"The village of Sleepy Hollow is getting ready to greet the new schoolteacher, Ichabod Crane, who is coming from New York. Crane has already heard of the village's legendary ghost, a headless horseman who is said to be searching for the head that he lost in battle. The schoolteacher has barely arrived when he begins to pursue the beautiful young heiress Katrina Van Tassel, angering Abraham Van Brunt, who is courting her. Crane's harsh, small-minded approach to teaching also turns some of the villagers against him. Soon there many who would like to see him leave the village altogether."
93,"In the midst of World War II, Sherlock Holmes rescues the Swiss inventor of a new bomb-sight from the Gestapo and brings him to England, where he shortly falls into the clutches of Professor Moriarty."
94,"Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue."
95,"Sherlock Holmes investigates when young women around London turn up murdered, each with a finger severed. Scotland Yard suspects a madman, but Holmes believes the killings to be part of a diabolical plot."
96,"Boisterous nightclub entertainer Buzzy Bellew was the witness to a murder committed by gangster Ten Grand Jackson. One night, two of Jackson's thugs kill Buzzy and dump his body in the lake at Prospect Park in Brooklyn. Buzzy comes back as a ghost and summons his bookworm twin, Edwin Dingle, to Prospect Park so that he can help the police nail Jackson."
97,"Two former nightclub partners are now enlisted in the Army. Sergeant Puccinelli ranks above his former partner, Private First Class Korwin. Puccinelli is desperately trying to get transferred from his dull job to active duty overseas. Meanwhile, all Korwin wants is a pass to see his wife and new baby."
98,"The dream is unusually vivid: Bank employee Vince Grayson finds himself murdering a man in a sinister octagonal-shaped room lined with mirrors while a mysterious woman breaks into a safe. It is so vivid that Vince suspects it may have really happened. To get the dream off his mind, he goes on a picnic with some relatives. When a thunderstorm forces his party into a nearby mansion, Vince discovers that the bizarre room does exist, and it means nothing but trouble."
99,"This documentary movie is about the battle of San Pietro, a small village in Italy. Over 1,100 US soldiers were killed while trying to take this location, that blocked the way for the Allied forces from the Germans."
100,"The first feature length film to use three-strip Technicolor film. Adapted from a play that was adapted from William Makepeace Thackeray's book ""Vanity Fair"", the film looks at the English class system during the Napoleonic Wars era."
101,"Gulliver washes ashore on Lilliput and attempts to prevent war between that tiny kingdom and its equally-miniscule rival, Blefiscu, as well as smooth the way for the romance between the Princess and Prince of the opposing lands. In this he is alternately aided and hampered by the Lilliputian town crier and general fussbudget, Gabby. A life-threatening situation develops when the bumbling trio of Blefiscu spies, Sneak, Snoop, and Snitch, manage to steal Gulliver's pistol."
102,"An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom they think is traveling in disguise. Fearing he will discover they've been pocketing tax money, they make several bungled attempts to kill him."
103,"When the villagers of Klineschloss start dying of blood loss, the town fathers suspect a resurgence of vampirism. While police inspector Karl remains skeptical, scientist Dr. von Niemann cares for the vampire's victims one by one, and suspicion falls on simple-minded Herman Gleib because of his fondness for bats. A blood-thirsty mob hounds Gleib to his death, but the vampire attacks don't stop."
104,A music maestro uses hypnotism on a young model he meets in Paris to make her both his muse and wife.
105,"Jimmy, the owner of a failed music shop, goes to work with his uncle, the owner of a food factory. Before he gets there, he befriends an Irish family who happens to be his uncle's worst enemy because of their love for music and in-house band who constantly practices. Soon, Jimmy finds himself trying to help the band by getting them gigs and trying to reconcile the family with his uncle."
106,"Baby photographer Ronnie Jackson, on death row in San Quentin, tells reporters how he got there: taking care of his private-eye neighbor's office, Ronnie is asked by the irresistible Baroness Montay to find the missing Baron. There follow confusing but sinister doings in a gloomy mansion and a private sanatorium, with every plot twist a parody of thriller cliches."
107,"Abandoned by her fiancé, an educated negro woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished negro youths."
108,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock."
109,"The East Side Kids try to fix up a house for newlyweds, but find the place next door ""haunted"" by mysterious men."
110,"After a long absence, Mary Jane visits her schoolfriend Eloise, and Eloise's daughter Ramona. Eloise drinks too much and is unhappily married to Lew Wengler. Eloise falls asleep and remembers her time with her true love, Walt Dreiser, at the beginning of the Second World War. She recalls the events that lead up to her split with Mary Jane, and how Lew married Eloise rather than Mary Jane."
111,"Holmes and Watson board a passenger train bound from London to Edinburgh, to guard the Star of Rhodesia, an enormous diamond worth a fortune belonging to an elderly woman of wealth; but within the first hour of the trip, the woman's son is murdered and the diamond stolen and any of the passengers in their car could be the killer thief."
112,"Light bio-pic of American Broadway pioneer Jerome Kern, featuring renditions of the famous songs from his musical plays by contemporary stage artists, including a condensed production of his most famous: 'Showboat'."
113,"During World War II, a small plane somewhere over the Caribbean runs low on fuel and is blown off course by a storm. Guided by a faint radio signal, they crash-land on an island. The passenger, his manservant and the pilot take refuge in a mansion owned by a doctor. The quick-witted yet easily-frightened manservant soon becomes convinced the mansion is haunted by zombies and ghosts."
114,"John and Mary sims are city-dwellers hit hard by the financial fist of The Depression. Driven by bravery (and sheer desperation) they flee to the country and, with the help of other workers, set up a farming community - a socialist mini-society based upon the teachings of Edward Gallafent. The newborn community suffers many hardships - drought, vicious raccoons and the long arm of the law - but ultimately pull together to reach a bread-based Utopia."
115,"Judge Priest, a proud Confederate veteran, restores the justice in a small town in the Post-Bellum Kentucky using his common sense and his great sense of humanity."
116,"Notorious shootist and womanizer Quirt Evans' horse collapses as he passes a Quaker family's home. Quirt has been wounded, and the kindly family takes him in to nurse him back to health against the advice of others. The handsome Evans quickly attracts the affections of their beautiful daughter, Penelope. He develops an affection for the family and their faith, but his troubled past follows him."
117,A happily married woman sees a psychoanalyst and develops doubts about her husband.
118,"Unscrupulously ambitious, Brutus Jones escapes from jail after killing a guard and through bluff and bravado he finds himself the emperor of a Caribbean island."
119,A mad scientist changes his simple-minded handyman into a werewolf in order to prove his supposedly crazy scientific theories - and exact revenge.
120,A Ukrainian village must suddenly contend with the Nazi invasion of June 1941.
121,"The story is set in Cambodia in the years following WWI. Evil Count Mazovia (Roy D'Arcy) has come into possession of the secret methods by which men can be transformed into walking zombies and uses these unholy powers to create a race of slave laborers. An expedition is sent to the ruins of Angkor Wat, in hopes of ending Mazovia's activities once and for all. Unfortunately, Armand (Dean Jagger), one of the members of the expedition, has his own agenda."
122,"It's Tulsa, Oklahoma at the start of the oil boom and Cherokee Lansing's rancher father is killed in a fight with the Tanner Oil Company. Cherokee plans revenge by bringing in her own wells with the help of oil expert Brad Brady and childhood friend Jim Redbird. When the oil and the money start gushing in, both Brad and Jim want to protect the land but Cherokee has different ideas. What started out as revenge for her father's death has turned into an obsession for wealth and power."
123,"When bookseller Buzz cons Diana into thinking that his friend Stanley knows all there is to know about Africa, they are abducted and ordered to lead Diana and her henchmen to an African tribe in search of a fortune in jewels."
124,Young female models are being strangled. Will law enforcement be able to stop the crime wave before more women become victims?
125,"This unhistorical account of pirate Captain Kidd revolves around treasure and treachery. In 1699, William Kidd, presenting himself as an honest shipmaster, dupes King William III into backing his mission to fight pirates, with a crew of condemned pirates and the promise of pardon."
126,"Produced and presented as evidence at the Nuremberg war crimes trial of Hermann Göring and twenty other Nazi leaders, this film consists primarily of dead and surviving prisoners and of facilities used to kill and torture during the World War II."
127,"John Schuyler, a happily married lawyer, is appointed diplomat and sent to England; But, due to an unfortunate accident, his wife and child can not come along with him. On the ship to England, Schuyler meets the notorious Vampire-- A relentless gold-digger who causes the moral degradation of those she seduces, first fascinating and then draining the very life from her victims."
128,"An ambitious lumberjack abandons his saloon girl lover so that he can marry into wealth, but years later becomes infatuated with the woman's daughter."
129,"A female ape takes to mothering the orphaned boy (Tarzan) and raises him over the course of many years until a rescue mission is finally launched and the search party combs the jungle for the long-time missing Lord Greystoke. But then, one of the search members, Jane Porter, gets separated from the group and comes face to face with fearsome wild animals. Tarzan saves her from harm just in the knick of time and love begins to blossom."
130,"While trailing Forest Ranger Charles Carter, who is suspected of permitting lumber man Henry Mitchell to cut restricted timber, Gene fires at a dangerous mountain lion and apparently kills Carter. Actually, Bill Wright, Mitchell's associate, killed Carter because the ranger had discovered tussock moth infestation in the forest, and if the infestation was not reported, the trees would die and have to be cut, thereby profiting Mitchell and Wright. In order to compensate the best he can, Gene sells his sportsman's camp and gives the money to Carter's daughter Helen . En route to Texas, Gene discovers the infestation and is assigned by the Forest Department to supervise the program of spraying the area with DDT from the air. After the first day of spraying, the DDT is blamed by furious stock men for the many animals found dead of poisoning."
131,"Originally, producer Harry Sherman's Woman of the Town was slated for Paramount release, but that studio was overloaded with product, so the film was deferred to United Artists. Nonetheless, the finished product has the ""look"" of a Paramount, right down to the presence of character actor Albert Dekker in a leading role. Dekker plays Bat Masterson, who after failing to secure a job as a newspaper reporter becomes marshal of Dodge City. Preferring socializing to peacekeeping, Masterson falls in love with Dora Hand (Claire Trevor), the obligatory golden-hearted chorus girl whose concern for the welfare of her fellow citizens at time reaches Madonna-like dimensions. When Dora is shot down cattle baron King Kennedy (Barry Sullivan), Masterson begins taking his job seriously. After taking care of Kennedy, Masterson determines to enshrine the memory of Dora, whose efforts to clean up Dodge City were largely ignored by the ""decent"" townsfolk."
132,Soup kitchen operator and criminologist Bela Lugosi operates a soup kitchen as a front for a criminal gang who commit a series of robberies and murders.
133,"A convicted thief in Dartmoor prison hides the location of the stolen Bank of England printing plates inside three music boxes. When the innocent purchasers of the boxes start to be murdered, Holmes and Watson investigate."
134,"An American boy turns out to be the heir of a wealthy British earl. He is sent to live with the irritable and unsentimental aristocrat, his grandfather."
